Endpoint,Method,Purpose,Authentication,Input Parameters,Output,Related Tables,Module,Status
/api/staff/get-evaluation-criteria,GET,"Get evaluation criteria","staff, admin","--","criteria list","evaluation_criteria",Staff,Active
/api/staff/get-document-requirements,POST,"Get document requirements","staff, admin","category_id","document list","document_categories",Staff,Active
/api/staff/get-exam-locations,GET,"Get exam locations","staff, admin","--","locations list","locations",Staff,Active
/api/staff/exam-locations,POST,"Manage exam locations","admin","location_id, action","--","locations",Staff,Active
/api/staff/get-external-busy-times,GET,"Get external calendar busy times","staff, admin","staff_id","busy times","external_calendars",Staff,Active
/api/staff/manage-external-busy-times,POST,"Manage external busy times","staff, admin","staff_id, busy_times","--","external_calendars",Staff,Active
/api/staff/get-tenant,GET,"Get tenant information","staff, admin","--","tenant data","tenants",Staff,Active
/api/staff/batch-update-appointment-status,POST,"Batch update appointment status","admin, staff","appointment_ids, status","success count","appointments",Staff,Active
/api/courses/enroll,POST,"Enroll student in course","customer, staff","course_id, user_id","enrollment_id, invoice_id","course_registrations, invoices",Courses,Active
/api/courses/enroll-wallee,POST,"Enroll student with Wallee payment","public, authenticated","course_id, payment data","enrollment_id, payment_url","course_registrations, payments",Courses,Active
/api/sari/sync-courses,POST,"Sync courses from SARI","admin","--","sync count","courses, sari_sync_logs",Integration,Active
/api/sari/sync-participants,POST,"Sync participants from SARI","admin","--","sync count","course_registrations, sari_sync_logs",Integration,Active
/api/sari/sync-status,GET,"Get SARI sync status","admin","--","sync status","sari_sync_logs",Integration,Active
/api/sari/save-settings,POST,"Save SARI connection settings","tenant_admin","api_key, url, environment","success message","tenant_settings",Integration,Active
/api/sari/enroll-student,POST,"Enroll student in SARI course","admin, staff","student_id, course_id","success message","sari_sync_logs",Integration,Active
/api/sari/unenroll-student,POST,"Unenroll student from SARI","admin, staff","student_id, course_id","success message","sari_sync_logs",Integration,Active
/api/sari/lookup-customer,POST,"Lookup customer in SARI","admin, staff","faberid, email","customer data","sari_customer_mapping",Integration,Active
/api/sari/validate-student,POST,"Validate student SARI ID","admin, staff","faberid","valid: boolean","sari_customer_mapping",Integration,Active
/api/admin/get-pending-appointments,GET,"Get pending appointments","admin","--","appointments list","appointments",Admin,Active
/api/admin/get-user-payment-details,GET,"Get user payment details","admin","user_id","payment history","payments",Admin,Active
/api/admin/get-student-instructors,POST,"Get student's instructors","admin, staff","student_id","instructors list","appointments, users",Admin,Active
/api/admin/get-billing-addresses,POST,"Get company billing addresses","admin","--","addresses list","company_billing_addresses",Admin,Active
/api/admin/rate-limit-logs,GET,"Get rate limit violation logs","super_admin","--","logs list","rate_limit_logs",Admin,Active
/api/admin/preload-plz-distances,POST,"Preload postal code distances","admin","plz_list","success count","plz_distance_cache",Admin,Active
/api/calendar/get-appointments,GET,"Get calendar appointments","staff, admin, customer","date_from, date_to","appointments list","appointments",Calendar,Active
/api/calendar/manage,POST,"Manage calendar settings","staff, admin","calendar_id, settings","success message","external_calendars",Calendar,Active
/api/calendar/generate-token,POST,"Generate calendar access token","staff, admin","--","token","--",Calendar,Active
/api/calendar/ics,GET,"Export calendar as ICS","public, authenticated","token or staff_id","ICS file","appointments",Calendar,Active
/api/external-calendars/sync-ics,POST,"Sync external ICS calendar","staff, admin","calendar_url","sync count","external_calendars",Calendar,Active
/api/availability/queue-recalc,POST,"Queue availability recalculation","staff, admin, service_role","staff_id, location_id, date_range","queue_id","availability_recalc_queue",Scheduling,Active
/api/cancellation-policies/manage,POST,"Manage cancellation policies","admin","policy_data, action","--","cancellation_policies",Appointments,Active
/api/cancellation-reasons/list-active,GET,"List active cancellation reasons","public, staff","--","reasons list","cancellation_reasons",Appointments,Active
/api/cancellation-reasons/list-all,GET,"List all cancellation reasons","admin, staff","--","reasons list","cancellation_reasons",Appointments,Active
/api/cancellation-reasons/create,POST,"Create cancellation reason","admin","name, description","reason_id","cancellation_reasons",Appointments,Active
/api/cancellation-reasons/update,POST,"Update cancellation reason","admin","reason_id, data","--","cancellation_reasons",Appointments,Active
/api/cancellation-reasons/delete,DELETE,"Delete cancellation reason","admin","reason_id","--","cancellation_reasons",Appointments,Active
/api/invoices/create,POST,"Create invoice","admin, staff","invoice_data","invoice_id, pdf_url","invoices, invoice_items",Invoices,Active
/api/invoices/list,GET,"List invoices","admin, staff, customer","filters, limit, offset","invoices list","invoices",Invoices,Active
/api/invoices/get,GET,"Get invoice details","admin, staff, customer","invoice_id","invoice data","invoices, invoice_items",Invoices,Active
/api/invoices/get-items,GET,"Get invoice items","admin, staff, customer","invoice_id","items list","invoice_items",Invoices,Active
/api/invoices/update,POST,"Update invoice","admin, staff","invoice_id, data","--","invoices",Invoices,Active
/api/invoices/delete,DELETE,"Delete invoice","admin","invoice_id","--","invoices",Invoices,Active
/api/invoices/download,POST,"Download invoice PDF","admin, staff, customer","invoice_id","PDF binary","invoices",Invoices,Active
/api/products/list,GET,"List products","public, staff","category_id, limit","products list","products",Products,Active
/api/products/list-all,GET,"List all products","admin, staff","--","products list","products",Products,Active
/api/products/get-appointment-products,GET,"Get appointment products","staff, admin","appointment_id","products data","products",Products,Active
/api/pricing/calculate,POST,"Calculate price","public, authenticated","appointment_data, category","price, breakdown","pricing_rules, products",Pricing,Active
/api/pricing/calculate-with-discounts,POST,"Calculate with discounts","public, authenticated","pricing_data, discount_codes","price, breakdown","pricing_rules, discount_codes",Pricing,Active
/api/students/check-email,POST,"Check email availability","public","email","available: boolean","users",Customers,Active
/api/students/resend-onboarding-sms,POST,"Resend onboarding SMS","customer","--","success message","sms_logs",Customers,Active
/api/students/_id/payments,GET,"Get student payments","customer, staff","student_id","payments list","payments",Customers,Active
/api/customer/get-appointments,GET,"Get customer appointments","customer","--","appointments list","appointments",Customers,Active
/api/credit/use-for-appointment,POST,"Use student credit for appointment","customer","appointment_id, amount","success message","student_credits, credit_transactions",Customers,Active
/api/tenant/upload-logo,POST,"Upload tenant logo","tenant_admin","file (multipart)","logo_url","tenant_assets",Admin,Active
/api/tenant/assets,GET,"Get tenant assets","public","--","assets list","tenant_assets",Admin,Active
/api/tenant/delete-asset,DELETE,"Delete tenant asset","tenant_admin","asset_id","--","tenant_assets",Admin,Active
/api/validate/category,POST,"Validate category","public","category_id","valid: boolean","categories",Validation,Active
/api/cron/send-payment-reminders,POST,"Send payment reminders","cron, service_role","--","sent count","payments, payment_reminders, reminder_templates",Cron,Active
/api/cron/send-urgent-payment-reminders,POST,"Send urgent reminders","cron, service_role","--","sent count","payments, payment_reminders",Cron,Active
/api/cron/process-recalc-queue,GET,"Process availability recalculation queue","cron, service_role","--","processed count","availability_recalc_queue, availability_slots",Cron,Active
/api/cron/sync-external-calendars,POST,"Sync external calendars","cron, service_role","--","sync count","external_calendars",Cron,Active
/api/cron/recover-pending-wallee-payments,POST,"Recover stuck Wallee payments","cron, service_role","--","recovered count","payment_wallee_transactions, payments",Cron,Active
/api/cron/process-outbound-messages,POST,"Process message queue","cron, service_role","--","sent count","outbound_messages_queue, sms_logs",Cron,Active
/api/examiners/list,GET,"List examiners","staff, admin","--","examiners list","examiners",Staff,Active
/api/exams/save-result,POST,"Save exam result","staff, admin","student_id, result_data","result_id","exam_results",Staff,Active
/api/onboarding/categories,GET,"Get categories for onboarding","public","--","categories list","categories",Onboarding,Active
/api/emails/send-booking-proposal,POST,"Send booking proposal email","staff, admin","proposal_id, email_data","success message","booking_proposals, reminder_templates",Messaging,Active
/api/debug/check-wallee-payments,GET,"Debug Wallee payments (dev)","admin","--","debug info","payment_wallee_transactions",Debug,Active
/api/debug/trigger-recalc-queue,POST,"Manually trigger recalculation (dev)","admin","staff_id, location_id, date_range","queue_id","availability_recalc_queue",Debug,Active
